filename,text,char_count,word_count,line_count,has_text
image_000.jpg,"22675P

Оптимальный
Багаж — 1 шт
Чартер |}

S 10:40 16:00 8uBnytu/ Прямой",73,13,7,True
image_001.jpg,"Москва - Вьетнам а
Перелёт + отель, 29 - 30 ноя, 6 - 8 ночей, 2 взросл...

= TL TloueHe v LleHa v Питание м

37 Golden Lotus Hotel

Нячанг
= 2 линия : 105 м-песчаный “> везде

Развитая инфраструктура

_  омтравний ©

С",218,44,15,True
image_002.jpg,"9443P

Оптимальный

Багаж 23Kr — 1 шт

Г 11:05 17:50 — 9чв пути / Прямой",72,15,7,True
image_003.jpg,"9453P

Оптимальный

Багаж 23Зкг — 1 шт

‚ю® 13:20 19:00 — 10чв пути / Прямой
WS вкк 50",86,18,8,True
image_004.jpg,"13 217Р

Оптимальный

Багаж 23Зкг — 1 шт

а» 11:05 16:55 — 10ч в пути / Прямой",78,17,7,True
image_005.jpg,"4411P

Оптимальный

Багаж 23Kr — 1 шт

& 05:30 15:00 6.54 в пути / Прямой",73,15,7,True
image_006.jpg,"13233P о &

Багаж 23кг —1шт Ручная кладь 10кг — 1 шт

пути, прямой С",68,15,5,True
image_007.jpg,"Москва - Шри-Ланка Q
Перелёт + отель, 1- 14 дек, 11 - 18 ночей, 2 взросл...

35 TL По цене v Цена v Питание v C

Hansa Surf Hotel
Галле, Хиккадува

= Tnunua:32mM-necuaHbin = 145 кмота/п
> влобби

Развитая инфраструктура

от 119 504 Р за11 ночей ©",246,47,14,True
image_008.jpg,"27623P Oe
Багаж 20кг —1шт Ручная кладь 5кг —1 шт Чартер №

@ 21:15 = Ом путиивямой С 11:05

CXR",95,20,6,True
image_009.jpg,"21959Р

Оптимальный

Багаж 2Зкг — 1 шт

&. 11:05 17:50 94Bnytu/ Прямой",70,12,7,True
image_010.jpg,"Москва - Таиланд Q
Перелёт + отель, 29 ноя, 11 - 14 ночей, 2 взрослых

2S TL Поцене м Цена v Питание м C

3* Memo Suite Pattaya [8.9 ]

Паттайя, Южная Паттайя

== З линия :1600 м-песчаный <>? 125 кмота/п

= везде

Развитая инфраструктура

oT 157 400 Р за11 ночей OC",265,52,16,True
image_011.jpg,"29398P

Оптимальный

Багаж 23Зкг — 1 шт

`ю® 22:15 09:20 9чв пути / Прямой
7 $50 MLE",84,17,8,True
image_012.jpg,"3( Авиабилеты Oren
Скидка 5000Р на Скидка 4000Р на 7
авиабилеты из России отели в Таиланде (получить)
в Таиланд

Е Отели

Промокод на отели в

Таиланде

Скидка 1 600 Р при заказе от 13 000 Р / Скидка
950 Р при заказе от 8 500 Р / Скидка 600 Р п...",247,51,13,True
image_013.jpg,"55545P

Багаж 25 кг — 1 шт

© 12:35 11:35 18 ч в пути / 1 пересадка

© 18:45 07:45 —18ч в пути / 1 пересадка

aQUn 2

DPS SVO 34 Абу-Даби ночью",143,33,11,True
image_014.jpg,"36645P

Багаж 23кг —1шт Ручная кладь 8кг — 1 шт

{ 1715

{ 11:55

svo

iv)
С 05:50
РКХ ,
С 15:30
svo

&",103,24,17,True
image_015.jpg,"42584P

Багаж 2Зкг — 1 шт

& 20:00 17:50 —18чв пути / 1 пересадка

с

с 01:55 17:00 19ч в пути / 1 пересадка",108,24,9,True
image_016.jpg,"42158 Р

Багаж 2Зкг — 1 шт

ыы то 13ч в пути 1 пересадка

@ 08:30 17:10 144 в пути / 1 пересадка",96,23,7,True
image_017.jpg,"9055P

Оптимальный

Багаж — 1 шт

Ручная кладь 7 кг — 1 шт
Чартер {№

® 09:40 —14:35 —8чв пути / Прямой",103,22,10,True
image_018.jpg,"7697Р

Оптимальный

Багаж — 1 шт

Ручная кладь 7 кг — 1 шт
Чартер {№

® 10:55 —18:15 —75чв пути / Прямой",104,22,10,True
image_019.jpg,"Москва - Индонезия а
Перелёт + отель, 27 - 28 ноя, 6 - 8 ночей, 2 взросл...

SS TL По цене м Цена v Питание м С

3” Legian Village Hotel [7.9

Кута, Легиан

== З линия 350 м-песчаный < 5 кмота/п
= везде

Развитая инфраструктура

oT 142 987 Р за 8 ночей ©",254,54,15,True
image_020.jpg,"38096P

Оптимальный
Багаж 20 кг — 1 шт
Чартер {>

< 22:35 12:25 — 10ч в пути / Прямой

< 18:10 00:25 —10ч в пути / Прямой",121,27,9,True
image_021.jpg,"Москва - Мальдивы а
Перелёт + отель, 14 окт, 7 - 14 ночей, 2 взрослых

SF TL MoueHe и LleHa v Питание м (<

1Науеп Thulusdhoo &

Северный атолл Mane, остров Тулусду

Е 3 линия - 400 м-песчаный “> влобби
АЭРОФЛОТ” (7)

oO",220,43,13,True
image_022.jpg,"43148P

50809? с багажом 23 Kr — 1 шт

@ 11:30 09:45 — 20ч в пути / 1 пересадка
| ночью

@ 11:10 23:45 —15чв пути / 1 пересадка",127,29,8,True
image_023.jpg,"9093P

Оптимальный

Багаж — 1 шт

Ручная кладь 5 кг — 1 шт
Чартер {№

[7 10:40 —17:15 9чв пути / Прямой",103,22,10,True
image_024.jpg,"Москва - остров Хайнань а
Перелёт + отель, 9 - 22 ноя, 9 - 14 ночей, 2 взросл...

= TL По цене м Цена м Питание м С

Як = carenorere \

27 Care Hotel Coast Collection
CaHba

Е 2 линия: 430 м-песчаный <>? 16 кмота/п

= везде

oT 111 237 Р за 9 ночей ©",250,56,15,True
image_025.jpg,"9477P

Оптимальный

Багаж 23Зкг — 1 шт

03:00 12:30 —6.5ч в пути / Прямой
< схв vvo",83,17,8,True
image_026.jpg,"27208Р

Оптимальный

Багаж 23Зкг — 1 шт

а» 10:05 17:55 — 13ч в пути / Прямой",77,16,7,True
image_027.jpg,"Москва - Вьетнам Q
Перелёт + отель, 12 - 25 окт, 8 - 15 ночей, 2 взросл...

25 Tl По цене v Цена v Питание v С

3* Morris Hotel Мпа Trang 97)

Нячанг

= 2 линия - 155 м- песчаный “= везде

от 97 820 Р за 8 ночей о",213,51,12,True
image_028.jpg,"Владивосток - Вьетнам а
Перелёт + отель, 11 - 1$ окт, 9 - 14 ночей, 2 взросл...

3 TL По цене v Цена v Питание v

=i

3°"" Golden Lotus Hotel

Нячанг

= 2nunua:105mM-necuaHbin > везде

Развитая инфраструктура

_ ersesiePastonowen ©

С",233,42,18,True
image_029.jpg,"42915P

Осталось 6 билетов по этой цене

Багаж 23Kr — 1 шт

@ 23:15 01:10 214 в пути / 1 пересадка

@ 18:20 21:15 324 в пути / 1 пересадка
K $\О uly оу ночью",157,35,10,True
image_030.jpg,"38270Р

Оптимальный
Багаж 20 кг — 1 шт
Чартер |!

< 11:40 01:35 — 10ч в пути / Прямой

77) 12:45 19:00 —10ч в пути / Прямой",123,27,9,True
image_031.jpg,"35234P

Оптимальный
37 971Р с багажом 20 кг — 1 шт

. 14:20 08:10 144 BnytTu/ 1 пересадка

ь 10:10 23:40 —18ч в пути / 1 пересадка",130,27,8,True
image_032.jpg,"6375Р

Оптимальный
Багаж 23Kr — 1 шт

Ручная кладь 10 кг — 1 шт

> 13:10 — 21:00 74Bnytu/Npamon",95,19,8,True
